:START_ID,:END_ID,:TYPE
Q31,1,P2924
Q31,Q1088364,P1344
Q31,2,P1082
Q31,3,P1667
Q31,Q3247091,P1151
Q31,4,P3348
Q31,5,P1333
Q31,Q1308013,P1546
Q31,Q7112200,P5125
Q31,6,P349
Q31,Q4916,P38
Q31,7,P3365
Q31,8,P3221
Q31,9,P2581
Q31,10,P1566
Q31,11,P227
Q31,12,P487
Q31,Q7021332,P1792
Q31,Q1061257,P2852
Q31,Q25648793,P2852
Q31,Q25648794,P2852
Q31,Q25648798,P2852
Q31,13,P3916
Q31,Q1378312,P2853
Q31,Q2335536,P2853
Q31,14,P395
Q31,15,P3238
Q31,16,P1335
Q31,Q1115035,P2633
Q31,17,P298
Q31,18,P1448
Q31,19,P1448
Q31,20,P1448
Q31,21,P1448
Q31,Q213107,P1313
Q31,22,P3417
Q31,23,P3417
Q31,24,P3529
Q31,Q128267,P417
Q31,25,P998
Q31,Q31,P17
Q31,26,P486
Q31,Q25929919,P2959
Q31,Q42311082,P2959
Q31,Q52884026,P2959
Q31,27,P3106
Q31,Q41614,P122
Q31,Q3330103,P122
Q31,28,P982
Q31,Q3174312,P1552
Q31,29,P94
Q31,30,P94
Q31,31,P94
Q31,32,P94
Q31,33,P2981
Q31,34,P2573
Q31,35,P3422
Q31,Q223933,P793
Q31,Q1160895,P793
Q31,Q32,P530
Q31,Q38,P530
Q31,Q183,P530
Q31,Q347,P530
Q31,Q408,P530
Q31,Q212,P530
Q31,Q1246,P530
Q31,Q142,P530
Q31,Q145,P530
Q31,Q16,P530
Q31,Q252,P530
Q31,Q35,P530
Q31,Q43,P530
Q31,Q55,P530
Q31,Q77,P530
Q31,Q833,P530
Q31,Q843,P530
Q31,Q865,P530
Q31,Q96,P530
Q31,Q974,P530
Q31,Q30,P530
Q31,Q159,P530
Q31,Q668,P530
Q31,Q41,P530
Q31,Q148,P530
Q31,Q230,P530
Q31,Q801,P530
Q31,Q29999,P530
Q31,Q28,P530
Q31,Q423,P530
Q31,36,P571
Q31,Q13592862,P1906
Q31,37,P935
Q31,Q1137059,P194
Q31,38,P214
Q31,39,P5180
Q31,40,P605
Q31,Q205317,P2184
Q31,41,P4613
Q31,42,P3911
Q31,Q7411,P37
Q31,Q150,P37
Q31,Q188,P37
Q31,43,P3984
Q31,Q46,P30
Q31,Q239,P36
Q31,44,P856
Q31,45,P856
Q31,46,P856
Q31,47,P856
Q31,Q199614,P237
Q31,48,P3271
Q31,49,P1549
Q31,50,P1549
Q31,51,P1549
Q31,52,P1549
Q31,53,P1549
Q31,54,P1549
Q31,55,P1549
Q31,56,P1549
Q31,57,P1549
Q31,58,P1549
Q31,59,P1549
Q31,60,P1549
Q31,61,P1549
Q31,62,P1549
Q31,63,P1549
Q31,64,P1549
Q31,65,P1549
Q31,66,P1549
Q31,67,P1549
Q31,68,P1549
Q31,69,P1549
