id:ID,value
1,"4075290"
2,"+11431406"
3,"1000063"
4,"2020"
5,"Point(5.4726111111111 49.497111111111)"
6,"00560624"
7,"belgio"
8,"destination/belgium"
9,"00009714n"
10,"2802361"
11,"4005406-8"
12,"\U0001F1E7\U0001F1EA"
13,"concept893"
14,"B"
15,"0"
16,"Point(2.54882813 51.08972292)"
17,"BEL"
18,"K\u00F6nigreich Belgien"
19,"Kingdom of Belgium"
20,"Koninkrijk Belgi\u00EB"
21,"Royaume de Belgique"
22,"Belgium"
23,"Belge"
24,"+31112"
25,"Regional/Europe/Belgium/"
26,"D001530"
27,"world/belgium"
28,"5b8a5ee5-0bb3-34cf-9a75-c27c44e341fc"
29,"http://commons.wikimedia.org/wiki/Special:FilePath/Great%20coat%20of%20arms%20of%20Belgium.svg"
30,"http://commons.wikimedia.org/wiki/Special:FilePath/State%20Coat%20of%20Arms%20of%20Belgium.svg"
31,"http://commons.wikimedia.org/wiki/Special:FilePath/Arms%20of%20Belgium%20%28with%20crown%29.svg"
32,"http://commons.wikimedia.org/wiki/Special:FilePath/Royal%20Arms%20of%20Belgium.svg"
33,"B"
34,"+8330"
35,"99131"
36,"1830-10-04T00:00:00Z"
37,"Belgi\u00EB - Belgique - Belgien"
38,"144248059"
39,"belgium"
40,"BE"
41,"39061"
42,"17201-5"
43,"belgium"
44,"https://www.belgium.be/nl"
45,"https://www.belgium.be/en"
46,"https://www.belgium.be/fr"
47,"https://www.belgium.be/de"
48,"+18"
49,"Belg"
50,"Belgian"
51,"belga"
52,"Belgische"
53,"Belge"
54,"Belgier"
55,"belgier"
56,"Belgiano"
57,"belgo"
58,"Belg\u00E4nan"
59,"\u0BAA\u0BC6\u0BB2\u0BCD\u0B9C\u0BBF\u0BAF\u0BB0\u0BCD"
60,"Belgi\u010Dan"
61,"\u0628\u0644\u062C\u064A\u0643\u064A"
62,"\u0628\u0644\u062C\u064A\u0643\u064A\u0629"
63,"\u0628\u0644\u062C\u064A\u0643\u064A\u0648\u0646"
64,"\u0431\u0435\u043B\u044C\u0433\u0456\u0454\u0446\u044C"
65,"\u0431\u0435\u043B\u044C\u0433\u0456\u0439\u043A\u0430"
66,"\u0431\u0435\u043B\u044C\u0433\u0456\u0439\u0446\u0456"
67,"\u0431\u0435\u043B\u044C\u0433\u0438\u0439\u0446\u044B"
68,"belga"
69,"\u05D1\u05DC\u05D2\u05D9"
70,"\u05D1\u05DC\u05D2\u05D9\u05EA"
71,"belgieni"
72,"belgian"
73,"belgianc\u0103"
74,"Belsch"
75,"Belsch"
76,"belga"
77,"belgi"
78,"belghe"
79,"\u6BD4\u5229\u65F6"
80,"beljes"
81,"belgisk"
82,"belxicanu"
83,"belxicana"
84,"belga"
85,"belxicano"
86,"Bedje"
87,"Belgen"
88,"Belzje"
89,"belgijanac"
90,"belgijanka"
91,"belgijanci"
92,"belgijanke"
93,"http://commons.wikimedia.org/data/main/Data:Belgium.map"
94,"000981380"
95,"52411"
96,"19875"
97,"BE"
98,"Point(4.77 51.5)"
99,"Point(6.40743256 50.3358193)"
100,"ge128735"
101,"140654"
102,"02395a"
103,"206"
104,"+1.75"
105,"205"
106,"10035761"
107,"294901094"
108,"+6"
109,"1028458"
110,"+65"
111,"+66"
112,"+67"
113,"+18"
114,"pays/belgique"
115,"15238382r"
116,"http://commons.wikimedia.org/wiki/Special:FilePath/EU-Belgium.svg"
117,"http://commons.wikimedia.org/wiki/Special:FilePath/Belgium%20%28orthographic%20projection%29.svg"
118,"e68c5b82-50e8-47d8-953c-bf61a2de0a85"
119,"+18"
120,"2--493"
121,"+0.890"
122,"2.16.56"
123,"BEL"
124,"1210278"
125,"Belgia"
126,"+8"
127,"766"
128,"2969"
129,"place/Belgium"
130,"Belgium"
131,"http://commons.wikimedia.org/wiki/Special:FilePath/Belgium%20Banner.jpg"
132,"+230"
133,"105206"
134,"+80.99268"
135,"0008719"
136,"Belgium"
137,"+30528"
138,"6974"
139,"+0.8"
140,"3b33aed2-40bc-48a9-baa0-3ff78ba4a5aa"
141,"\U0001F1E7\U0001F1EA"
142,"88"
143,""
144,"belgien"
145,"\u02C8b\u025Blg\u026A\u0251"
146,"\u02C8b\u02B2el\u02B2\u0261\u02B2\u026Aj\u0259"
147,"b\u025Bl.\u0292ik"
148,"056"
149,"026360608"
150,"3035-254"
151,"BEL"
152,"+32"
153,"/m/0154j"
154,"ube"
155,"n80126041"
156,"BE"
157,"Eendracht maakt macht"
158,"Point(4.6680555555556 50.641111111111)"
159,"BE"
160,"belgien"
161,"http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium%20%28civil%29.svg"
162,"+44725"
163,"+45005"
164,"+44858"
165,"Point(4.6680555555556 50.641111111111)"
166,"belgien"
167,"Belgium"
168,"Belgien"
169,"1249"
170,"countries/be"
171,"http://data.thenextweb.com/tnw/entity/belgium"
172,"+99"
173,"4020-55916"
174,"+20.7"
175,"+20.1"
176,"+21.3"
177,"+21.2"
178,"+22.7"
179,"belgio"
180,"Koninkrijk Belgi\u00EB"
181,"Royaume de Belgique"
182,"K\u00F6nigreich Belgien"
183,"belgium"
184,"85632997"
185,"77978"
186,"belgien"
187,"http://commons.wikimedia.org/wiki/Special:FilePath/Nl-Belgi%C3%AB-article.ogg"
188,"7008"
189,"5689"
190,"belcika"
191,"003349"
192,"540-549"
193,"wxtrbw"
194,"6826"
195,"+21"
196,"Belgique"
197,"Belgium"
198,"B\u00E9lgica"
199,"Belgika"
200,"Belgio"
201,"http://commons.wikimedia.org/wiki/Special:FilePath/Lb-Belsch.ogg"
202,"http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q7913%20%28ron%29-KlaudiuMihaila-Belgia.wav"
203,"4839"
204,"6718"
205,"pays/wd/108227"
206,"lccn-n80126041"
207,"14"
208,"11670"
209,"Belgium"
210,"strany_mira/BELGIYA.html"
211,"T007414"
212,"3995"
213,"i83329"
214,"10489"
215,"5182502652099301362"
216,"cz4pr2gdgrdt"
217,"BEL"
218,"xv8b9nqg4r1hd2b"
219,"124"
220,"H0005189"
221,"UsefulNotes/Belgium"
222,"18-193836"
223,"8617"
224,"belgium"
225,"p/b4bc3740-2d3e-4ce2-875c-a2f6eb090a45"
226,"ffd382be-2f2b-4c19-ae5a-6ba50f65aec5"
227,"belgium"
228,"08868745-n"
229,"B\u00E8lgica"
230,"7"
231,"5f4e5f29-55d6-4216-8da8-951c4651586d"
232,"6967"
233,"belgia"
234,"Y105206"
235,"T84-674"
236,"T115-332"
237,"19627981"
238,"2075743"
239,"885155"
240,"Happiness"
241,"13163"
242,"http://commons.wikimedia.org/wiki/Special:FilePath/Sweet%20Baby%20Kisses%20Family%20Love.jpg"
243,"http://commons.wikimedia.org/wiki/Special:FilePath/Happiness%20.jpg"
244,"http://commons.wikimedia.org/wiki/Special:FilePath/Felicidade%20A%20very%20happy%20boy.jpg"
245,"00566227"
246,"/m/016pp7"
247,"0108463"
248,"0183409"
249,"0183410"
250,"0231283"
251,"9359"
252,"D006240"
253,"4021325-0"
254,"happiness"
255,"topic/happiness"
256,"Happiness"
257,"happiness"
258,"sh85058807"
259,"11935779w"
260,"happiness"
261,"bonheur"
262,"happy"
263,"gluck-20"
264,"4176433"
265,"07131b"
266,"Gl\u00FCck"
267,"happiness"
268,"http://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188%20%28deu%29-Sebastian%20Wallroth-Gl%C3%BCck.wav"
269,"pcrtIoXHfp6d0L"
270,"happy"
271,"2778999518"
272,"2416"
273,"scot/11075"
274,"Happiness"
275,"Main/HappinessTropes"
276,"00042905n"
277,"\uD589\uBCF5"
278,"07542591-n"
279,"Category:Happiness_Tropes"
280,"XX526342"
281,"19557120"
282,"000025437"
283,"http://commons.wikimedia.org/wiki/Special:FilePath/George%20Washington%20signature.svg"
284,"http://commons.wikimedia.org/wiki/Special:FilePath/Coat%20of%20Arms%20of%20George%20Washington.svg"
285,"George Washington"
286,"http://commons.wikimedia.org/wiki/Special:FilePath/Gilbert%20Stuart%20Williamstown%20Portrait%20of%20George%20Washington.jpg"
287,"11876439X"
288,"n86140996"
289,"31432428"
290,"0000 0001 2095 8599"
291,"1732-02-22T00:00:00Z"
292,"1799-12-14T00:00:00Z"
293,"00621629"
294,"027333140"
295,"/m/034rd"
296,"6781"
297,"1075"
298,"jn19990008936"
299,"241381"
300,"a11452754"
301,"6109"
302,"2446"
303,"100686"
304,"0040D5031"
305,"000136724"
306,"A11838553"
307,"000140251"
308,"168080"
309,"107/000024035"
310,"mp04716"
311,"I00136043"
312,"255f3478-efee-4ff7-8d00-560e222e27b0"
313,"George Washington"
314,"4659"
315,"http://commons.wikimedia.org/wiki/Special:FilePath/George%20Washington%27s%20Tomb.jpg"
316,"W000178"
317,"+0"
318,"OL17013A"
319,"000240883"
320,"1007365"
321,"147312"
322,"George Washington"
323,"107557"
324,"cnp01259826"
325,"178100"
326,"XX1157500"
327,"6000000008211776777"
328,"Washington-11"
329,"37001"
330,"p369907"
331,"354"
332,"1902718"
333,"george-washington"
334,"George-Washington"
335,"w6r31qfk"
336,"000139849"
337,"36921"
338,"washigeorg003518"
339,"805"
340,"George_Washington_(6)"
341,"biography/George-Washington"
342,"pe/018166"
343,"george-washington"
344,"61288"
345,"Washington, George, 1732-1799"
346,"George Washington"
347,"10677887"
348,"1799-12-18T00:00:00Z"
349,"90137110"
350,"53856867"
351,"washigeo"
353,"cp46611"
354,"+74"
355,"+193"
356,"p2570.htm#i25694"
357,"04192516"
358,"0200332"
359,"washington-george"
360,"F60304"
361,"b7323934-cc78-4c83-bd5c-cf00ca72ebf4"
362,"14316"
363,"11928912p"
364,"ADV10077200"
365,"069038171"
366,"216"
367,"washington_george_auteur_du_texte"
368,"washington-george-1732-1799"
369,"washington-george-1732-1799-portraits"
370,"GeWashi1799"
371,"I5457"
372,"hftwzz7114kdn4n"
373,"geschiedenis-1450-1815/george-washington"
374,"George_Washington_1732-1799"
375,"George_Washington"
376,"0071874"
377,"500126198"
378,"35592539"
379,"64839"
380,"n01036872"
381,"familypedia:George_Washington_(1732-1799)"
382,"3005-2194"
383,"4005-36452"
384,"George_Washington"
385,"georgewashington"
386,"2435"
387,"george-washington"
388,"george-washington"
389,"george-washington"
390,"112676"
391,"02-A003959186"
392,"DA01665235"
393,"a11543978"
394,"0000090102"
395,"41314"
396,"pe115434"
397,"KAC201620955"
398,"000049261"
399,"000039484"
400,"000385367"
401,"American Fabius"
402,"http://commons.wikimedia.org/wiki/Special:FilePath/En-George%20Washington-article.ogg"
403,"2631"
404,"83571"
405,"personnage/wd/149548"
406,"George_Washington"
407,"1228"
408,"7757607"
409,"000011803"
410,"LNB:V*148440;=BH"
411,"9810655045105606"
412,"11876439X"
413,"001822789"
414,"A121962"
415,"lccn-n86140996"
416,"a1285059"
417,"http://commons.wikimedia.org/wiki/Special:FilePath/George%20Washington%E2%80%99s%20bookplate.%20Sotheby%27s.jpg"
418,"1752-01-01T00:00:00Z"
419,"vtls001094942"
420,"GeorgeWashington"
421,"495/70107"
422,"washington.html#466.36.08"
423,"105416"
424,"i97352"
425,"11918"
